TOTAL_NUMBER_OF_VISITS,TOTAL_DURATION_SPENT,AVERAGE_DURATION_PER_VISIT,TOTAL_CHIPS_WON_OR_LOST,AVERAGE_CHIPS_WON_OR_LOST_PER_VISIT,UNIQUE_GAMES_PLAYED,IS_PREMIUM_PLAYER,IS_LOYALTY_CARD_HOLDER,TOTAL_AMOUNT_SPENT_IN_HOTEL,TOTAL_DAYS_SPENT_HOTEL,TOTAL_AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_RESTAURANT_VISITS,TOTAL_AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,TOTAL_REVENUE_TO_CASINO,NUMBER_OF_CONCIERGE_VISITS,PREFERRED_GAME_CATEGORY,PREFERRED_GAME_NAME,AGE,GENDER,HOME_COUNTRY,HOME_CITY,VISIT_FREQUENCY,CLUSTERS,PLAYER_SEGMENT,SEGMENT_DESC
14,55.23,3.945,1273,90.92857142857143,10,False,False,12672.23,85,3760.84,58,7365.6,26,22525.670000000002,69,2,1,69,1,0,20,0.015503875968992248,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,81.04,4.265263157894737,-1261,-66.36842105263158,9,False,False,15332.63,107,5761.39,91,9187.37,44,31542.39,72,2,8,62,0,2,2,-0.1532258064516129,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,118.88,4.953333333333333,-22,-0.9166666666666666,10,False,True,32931.9,176,4333.52,132,11963.119999999999,42,49250.54,104,2,8,65,1,3,6,0.13114754098360656,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,83.9,4.415789473684211,263,13.842105263157896,7,True,True,24453.18,138,4851.17,107,9822.58,48,38863.93,95,0,9,76,0,0,5,0.03135313531353135,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
12,53.16,4.43,-522,-43.5,8,False,False,14366.619999999999,117,2033.31,60,4272.33,21,21194.260000000002,64,2,5,79,1,1,29,0.08695652173913043,3,Money losing players,Money losing players
14,59.78,4.2700000000000005,-2278,-162.71428571428572,7,False,False,14183.5,135,4112.38,69,7333.66,25,27907.54,59,1,2,42,1,2,17,-0.07407407407407407,3,Money losing players,Money losing players
16,71.34,4.45875,3453,215.8125,7,False,True,24660.68,166,4746.65,78,6247.9800000000005,26,32202.31,54,1,2,25,0,3,21,-0.21621621621621623,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,130.82,5.450833333333333,5888,245.33333333333334,9,False,False,23749.26,150,5803.57,107,11881.36,39,35546.19,108,0,4,74,0,0,24,0.04020100502512563,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,109.28,4.553333333333334,1115,46.458333333333336,10,True,False,27736.09,147,6936.81,86,12540.61,58,46098.51,124,0,9,42,0,3,22,-0.1875,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
20,98.55,4.9275,-2019,-100.95,8,True,False,32028.67,150,3900.83,96,9711.99,33,47660.49,85,2,8,60,0,1,29,-0.032679738562091505,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
27,135.69,5.025555555555555,100,3.7037037037037037,10,False,False,34634.36,278,6339.22,121,14195.0,58,55068.58,102,1,6,60,0,0,0,0.03590425531914894,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
16,68.37,4.273125,-643,-40.1875,8,False,True,29991.91,199,3950.94,76,8334.51,29,42920.36,78,0,0,71,1,3,26,0.0761904761904762,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
15,81.01,5.400666666666667,-5313,-354.2,8,False,False,35657.66,157,2967.34,71,5851.66,33,49789.66,57,1,10,72,0,3,6,-0.031982942430703626,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
17,83.12,4.889411764705883,-2677,-157.47058823529412,10,False,True,18343.03,133,4662.92,65,8541.630000000001,27,34224.58,85,0,9,51,0,1,29,0.7083333333333334,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,96.08,4.003333333333333,-1128,-47.0,11,False,False,37619.14,216,6226.0599999999995,123,11802.76,46,56775.96,110,2,3,52,0,2,28,0.07920792079207921,1,Conservative Low spenders,"Low spends, low money making low risk players"
14,54.17,3.869285714285714,-1074,-76.71428571428571,9,True,False,25570.16,133,3302.46,46,5262.6,29,35209.22,66,1,2,56,0,1,29,0.017220172201722016,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
28,119.19,4.256785714285714,5430,193.92857142857142,9,False,False,50607.59,291,6747.78,133,16169.6,49,68094.97,136,0,0,80,1,2,28,0.15819209039548024,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
25,126.84,5.0736,-866,-34.64,10,False,False,45986.83,221,7110.96,126,11855.15,51,65818.94,107,2,7,58,0,1,29,0.2066115702479339,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
26,115.58,4.445384615384615,-2081,-80.03846153846153,11,False,False,41588.3,232,6666.02,78,12904.17,53,63239.49,93,1,6,79,0,3,6,-0.031591737545565005,1,Conservative Low spenders,"Low spends, low money making low risk players"
25,134.66,5.3864,-1616,-64.64,10,True,True,36128.39,192,7187.93,114,13268.89,48,58201.21,95,1,10,67,0,3,21,0.08305647840531562,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,84.19,4.2095,-1016,-50.8,8,False,False,13842.69,119,5393.99,83,10240.86,34,30493.54,67,2,5,63,1,2,4,0.07575757575757576,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
28,131.02,4.679285714285714,-1005,-35.892857142857146,9,True,False,49621.4,305,7414.0,146,14310.61,58,72351.01,128,0,4,73,1,3,22,0.029914529914529916,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
22,101.09,4.595,-3300,-150.0,10,True,False,27497.129999999997,146,5305.01,75,10502.960000000001,41,46605.1,98,2,7,48,0,2,2,0.12290502793296089,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,90.62,4.531000000000001,2101,105.05,9,False,False,16881.07,71,5377.38,91,13985.98,46,34143.43,88,0,0,58,1,0,13,0.16806722689075632,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,72.92,4.289411764705882,21,1.2352941176470589,10,False,False,17448.35,191,4465.39,78,8846.54,24,30739.28,82,0,0,77,1,3,25,0.08173076923076923,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
28,143.98,5.142142857142857,1798,64.21428571428571,10,False,True,38430.15,265,7290.28,122,15148.93,37,59071.36,105,1,2,50,1,3,18,-0.717948717948718,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
15,70.81,4.720666666666667,2010,134.0,9,True,False,20209.85,81,3839.14,66,5715.56,30,27754.55,55,0,4,61,1,2,9,-0.15,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,76.21,4.763125,-1531,-95.6875,9,True,False,19729.18,99,4007.12,56,8938.76,15,34206.06,62,2,8,51,1,2,19,-0.02346041055718475,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,106.17,4.2468,-1128,-45.12,7,False,False,33696.23,220,7348.2300000000005,96,11261.93,44,53434.39,113,0,0,72,1,2,2,0.1201923076923077,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,93.06,4.8978947368421055,-3389,-178.3684210526316,10,False,False,34139.43,158,4633.37,79,7612.03,42,49773.83,88,1,2,53,0,3,11,0.024327784891165175,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,55.74,3.48375,-398,-24.875,8,False,True,28573.79,175,4171.91,89,7079.03,37,40222.73,77,2,7,67,1,2,9,0.02197802197802198,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,115.17,4.6068,-3650,-146.0,8,False,False,49363.99,231,5605.15,86,11150.14,51,69769.28,110,0,9,77,0,2,15,0.423728813559322,1,Conservative Low spenders,"Low spends, low money making low risk players"
27,123.11,4.5596296296296295,-2816,-104.29629629629629,10,False,False,14634.3,105,7238.24,138,14142.97,57,38831.51,146,0,4,75,1,3,23,-0.14594594594594595,1,Conservative Low spenders,"Low spends, low money making low risk players"
14,61.57,4.397857142857143,-61,-4.357142857142857,9,False,False,20085.399999999998,130,3467.13,55,7661.61,19,31275.14,62,0,0,52,0,3,25,0.0979020979020979,3,Money losing players,Money losing players
17,77.7,4.570588235294117,-195,-11.470588235294118,10,False,False,25338.11,156,4524.2,85,8850.16,28,38907.47,79,2,1,53,0,2,9,-0.03238095238095238,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
28,108.86,3.887857142857143,-2489,-88.89285714285714,10,False,True,29507.48,180,7543.46,126,18373.83,71,57913.77,153,0,0,45,0,2,10,-0.05343511450381679,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
11,50.18,4.5618181818181816,-1078,-98.0,7,False,False,5409.540000000001,43,3330.46,38,5834.0,25,15652.0,68,0,0,45,1,0,13,0.012154696132596685,3,Money losing players,Money losing players
16,68.38,4.27375,1832,114.5,8,False,False,20496.48,125,3097.36,69,6568.22,26,28330.06,67,2,8,73,0,0,24,0.01436265709156194,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
26,119.43,4.593461538461539,875,33.65384615384615,9,False,True,30850.11,155,6459.15,123,14257.720000000001,39,50691.979999999996,116,2,1,63,1,2,28,0.03735632183908046,1,Conservative Low spenders,"Low spends, low money making low risk players"
16,77.4,4.8375,591,36.9375,7,False,False,22649.53,163,4393.3,80,8275.59,29,34727.42,54,0,4,78,0,2,3,0.02821869488536155,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,84.63,4.029999999999999,-816,-38.857142857142854,10,False,False,30064.6,208,4438.21,106,10685.45,42,46004.26,96,0,0,50,0,1,29,0.4666666666666667,1,Conservative Low spenders,"Low spends, low money making low risk players"
25,120.5,4.82,5209,208.36,9,False,False,29035.79,204,7015.17,105,14739.92,46,45581.88,124,0,0,56,0,3,26,-0.038880248833592534,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
18,80.11,4.450555555555556,-2211,-122.83333333333333,11,False,False,33134.7,154,3389.79,91,8348.4,31,47083.89,100,1,6,52,1,2,3,0.07377049180327869,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
27,134.57999999999998,4.984444444444444,281,10.407407407407407,8,True,False,31528.61,158,7686.12,97,15585.9,59,54519.63,124,2,5,37,0,1,29,-0.10756972111553785,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
19,89.2,4.6947368421052635,-2302,-121.15789473684211,11,False,False,20795.56,107,5569.41,124,10789.48,43,39456.450000000004,85,1,6,67,1,3,22,-0.05555555555555555,1,Conservative Low spenders,"Low spends, low money making low risk players"
14,53.66,3.8328571428571427,2665,190.35714285714286,8,False,False,28357.93,232,4008.63,63,7580.13,31,37281.69,66,0,9,75,1,2,10,0.026217228464419477,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,80.01,4.445,3005,166.94444444444446,8,False,False,17954.87,120,4483.17,80,10194.82,28,29627.86,68,1,2,71,1,0,20,0.05921052631578947,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,88.77,4.672105263157895,1258,66.21052631578948,9,False,False,27007.28,205,5003.61,89,10233.97,37,40986.86,84,0,9,62,0,0,1,0.05322128851540616,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
12,42.41,3.5341666666666662,-908,-75.66666666666667,6,True,True,11156.99,74,3434.63,49,5086.18,32,20585.8,57,2,1,53,0,1,29,0.05042016806722689,3,Money losing players,Money losing players
19,92.37,4.861578947368422,-101,-5.315789473684211,8,False,False,20607.26,139,4275.6,78,9352.79,38,34336.65,82,1,6,54,0,0,1,-0.02303030303030303,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,89.52,4.476,-4199,-209.95,10,False,True,22536.57,179,5104.51,85,8833.789999999999,40,40673.87,90,0,4,70,0,3,22,0.036968576709796676,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,90.82000000000001,4.324761904761905,3790,180.47619047619048,9,True,False,18403.52,144,5733.85,66,14539.28,42,34886.65,77,2,3,71,1,2,28,0.019943019943019943,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
17,77.49,4.5582352941176465,4512,265.4117647058824,9,False,False,16753.329999999998,98,5160.77,91,9173.48,41,26575.58,83,0,0,44,0,2,19,-0.025073746312684365,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,86.57000000000001,4.556315789473684,1802,94.84210526315789,10,False,False,18139.91,176,4918.08,84,10481.61,46,31737.600000000002,95,1,6,47,0,3,27,0.027616279069767442,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,92.12,4.848421052631579,1522,80.10526315789474,8,False,False,24231.92,107,5138.81,81,11615.83,39,39464.56,91,2,1,74,1,1,29,0.027417027417027416,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,87.08,4.583157894736842,3893,204.89473684210526,9,False,True,28530.47,155,4861.7300000000005,91,11775.59,41,41274.79,93,2,8,78,0,0,13,-0.04398148148148148,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,58.32,3.645,-1835,-114.6875,7,False,True,17695.420000000002,58,4406.78,86,9758.69,31,33695.89,64,2,7,62,0,0,0,0.028169014084507043,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
27,124.28,4.602962962962963,-2193,-81.22222222222223,11,False,False,35275.020000000004,241,5682.82,143,13096.89,53,56247.729999999996,138,2,5,74,0,0,30,-0.07180851063829788,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
22,88.89,4.040454545454545,-3860,-175.45454545454547,10,False,True,35981.09,175,6249.86,96,11928.33,38,58019.28,99,2,1,63,1,0,14,-0.02669902912621359,1,Conservative Low spenders,"Low spends, low money making low risk players"
26,110.0,4.230769230769231,-6953,-267.4230769230769,10,False,False,29178.870000000003,256,7908.52,69,13526.23,56,57566.619999999995,115,0,4,73,1,0,20,-0.07738095238095238,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
15,58.17,3.878,-2750,-183.33333333333334,7,False,False,13820.68,139,3435.17,64,7312.74,31,27318.59,71,2,8,69,1,3,18,0.12931034482758622,3,Money losing players,Money losing players
30,136.64000000000001,4.554666666666667,4119,137.3,11,False,True,27186.77,213,6969.5199999999995,146,12911.460000000001,50,42948.75,138,1,2,79,0,0,5,0.03322259136212625,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
15,62.379999999999995,4.158666666666666,-4788,-319.2,8,False,False,18987.84,86,3873.75,50,8567.56,38,36217.15,49,1,6,72,0,1,29,-0.12295081967213115,3,Money losing players,Money losing players
28,104.05,3.7160714285714285,2008,71.71428571428571,10,False,False,35413.159999999996,143,8061.87,106,13945.32,55,55412.35,144,1,2,68,1,1,29,0.11570247933884298,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
23,93.91,4.083043478260869,903,39.26086956521739,10,False,False,19090.79,162,5354.61,94,11605.86,42,35148.26,114,1,10,72,1,0,13,0.08812260536398467,1,Conservative Low spenders,"Low spends, low money making low risk players"
18,83.46000000000001,4.636666666666667,759,42.166666666666664,9,False,False,29361.91,134,5107.83,61,9098.5,31,42809.24,93,0,0,51,1,0,12,-9.0,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,79.18,3.9590000000000005,993,49.65,9,True,True,26065.37,143,5916.7300000000005,70,9863.32,32,40852.42,96,0,0,38,1,2,2,-0.16260162601626016,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
21,100.32,4.777142857142857,-1247,-59.38095238095238,9,True,True,33935.08,169,5615.5599999999995,117,8049.83,39,48847.47,92,0,4,67,1,0,14,0.06402439024390244,1,Conservative Low spenders,"Low spends, low money making low risk players"
23,105.9,4.604347826086957,3772,164.0,9,False,False,27953.7,196,5992.35,121,12192.41,44,42366.46,114,0,0,40,1,0,0,-0.02882205513784461,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,79.44,3.972,1668,83.4,10,False,True,18314.8,192,5419.099999999999,92,10645.85,39,32711.75,91,1,2,79,0,2,2,-0.02607561929595828,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,94.66,5.2588888888888885,-3470,-192.77777777777777,8,False,False,36152.96,236,5064.6,75,8785.84,38,53473.4,89,0,4,66,0,3,11,-0.11688311688311688,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,116.03,5.044782608695653,-2308,-100.34782608695652,9,False,False,21050.22,138,5924.32,124,11077.45,41,40359.99,102,0,0,53,0,2,19,-0.12041884816753927,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,98.17,4.9085,-493,-24.65,11,False,False,20539.76,159,5185.94,81,10852.6,38,37071.3,85,0,9,41,1,0,0,-0.023391812865497075,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
23,81.75,3.5543478260869565,-914,-39.73913043478261,11,True,False,24928.55,109,6352.12,143,12217.369999999999,50,44412.04,121,2,1,72,1,3,21,0.06460674157303371,1,Conservative Low spenders,"Low spends, low money making low risk players"
23,117.31,5.100434782608696,-3821,-166.1304347826087,10,False,False,37211.63,155,5302.36,115,10234.77,45,56569.76,113,1,6,64,1,3,18,-0.14465408805031446,1,Conservative Low spenders,"Low spends, low money making low risk players"
23,83.09,3.612608695652174,446,19.391304347826086,10,False,False,29768.46,138,5698.64,90,11902.61,43,46923.71,134,1,2,68,0,1,29,0.03801652892561983,1,Conservative Low spenders,"Low spends, low money making low risk players"
14,53.06,3.79,-642,-45.857142857142854,9,False,False,13803.16,55,3141.16,54,6412.88,31,23999.2,51,1,10,80,1,2,10,-0.3888888888888889,3,Money losing players,Money losing players
17,68.47,4.027647058823529,-955,-56.1764705882353,8,True,False,15123.630000000001,81,4785.03,53,10581.87,24,31445.53,61,1,6,79,1,2,28,-0.01847826086956522,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,118.94,5.947,207,10.35,9,True,False,20004.579999999998,163,4126.45,93,9847.95,28,33771.98,82,1,6,78,1,1,29,0.05154639175257732,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,108.07,4.502916666666667,3690,153.75,9,False,False,33035.58,218,5181.53,119,13757.24,60,48284.35,107,0,9,56,0,3,23,1.1428571428571428,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,71.15,3.7447368421052634,127,6.684210526315789,8,False,False,24430.02,103,4459.63,98,12106.43,47,40869.08,79,0,9,71,1,2,19,0.0202991452991453,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,67.67999999999999,3.76,2363,131.27777777777777,7,False,True,22959.59,154,3694.69,81,7179.22,36,31470.5,79,0,4,27,1,0,13,-0.023529411764705882,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,68.02,3.5799999999999996,-2403,-126.47368421052632,10,False,False,9646.44,80,4207.28,75,9494.46,40,25751.18,86,2,8,75,1,2,3,0.030254777070063694,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
14,52.1,3.7214285714285715,1501,107.21428571428571,10,False,True,15243.619999999999,78,2668.81,75,6179.74,34,22591.17,64,2,1,51,1,3,11,0.1590909090909091,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
16,79.66,4.97875,-5735,-358.4375,9,False,True,7834.17,61,3856.81,76,7872.87,31,25298.85,74,1,2,33,1,3,18,0.02821869488536155,3,Money losing players,Money losing players
18,66.12,3.673333333333334,1207,67.05555555555556,9,False,False,18822.44,107,5558.0,97,8859.24,36,32032.68,79,0,0,27,1,1,29,-0.02459016393442623,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
19,88.34,4.649473684210527,-1344,-70.73684210526316,8,False,False,23310.18,146,5225.7300000000005,67,9959.94,51,39839.85,75,0,9,80,0,3,26,0.05337078651685393,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,102.72,4.28,735,30.625,8,False,True,37105.65,278,6485.3,127,15081.59,55,57937.54,118,1,10,62,1,0,30,0.7741935483870968,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,98.2,4.091666666666667,-4270,-177.91666666666666,10,True,False,30124.32,228,6664.03,103,10696.119999999999,58,51754.47,96,1,2,56,1,1,29,-0.24489795918367346,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,110.96000000000001,4.623333333333334,2763,115.125,9,False,False,15250.460000000001,129,5282.88,128,12965.6,45,30735.94,100,2,5,43,0,1,29,0.02414486921529175,1,Conservative Low spenders,"Low spends, low money making low risk players"
