TRANSACTION_ID,DATE,PLAYER_ID,PLAYER_AGE,PLAYER_GENDER,HOME_COUNTRY,HOME_CITY,GAME_CATEGORY,GAME_NAME,TABLE_MINIMUM_BET,IS_PREMIUM_PLAYER,DURATION_SPENT,CHIPS_WON_OR_LOST,NUMBER_OF_DAYS_SPENT_IN_CASINO,STAYED_AT_CASINO_HOTEL,AMOUNT_SPENT_IN_HOTEL_STAY,NUMBER_OF_DAYS_SPENT_IN_HOTEL,NUMBER_OF_RESTAURANT_VISITS,AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_CONCIERGE_VISITS,AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,IS_LOYALTY_CARD_HOLDER,REVENUE_MADE_BY_CASINO_FROM_PLAYER
44,23-05-2023,5483,39,Male,US,New York,Slot games,3D Slots,848.45,FALSE,6.78,846,21,FALSE,0,0,4,229.27,4,557.21,3,FALSE,-59.52
45,15-02-2023,8100,73,Female,Singapore,Singapore,Speciality Number Games,Keno,538.83,FALSE,7.78,79,29,FALSE,0,0,5,235.31,2,872.41,0,TRUE,1028.72
46,29-11-2023,933,57,Male,India,Pune,Slot games,Video Slots,167.63,TRUE,5.64,837,10,FALSE,0,0,6,66.34,8,22.63,3,FALSE,-748.03
47,29-11-2021,827,70,Male,Singapore,Singapore,Table games,Blackjack,605.75,FALSE,3.39,822,27,FALSE,0,0,7,404.3,0,122.29,2,TRUE,-295.41
48,05-12-2023,4637,64,Male,Singapore,Singapore,Table games,Blackjack,827.84,FALSE,2.3,-698,14,FALSE,0,0,0,481.51,1,25.68,2,FALSE,1205.19
49,23-07-2022,88,69,Male,US,Los Angeles,Slot games,Classic Slots,719.03,FALSE,3.66,-988,17,FALSE,0,0,3,172.6,0,545.41,2,FALSE,1706.01
50,09-02-2024,7391,43,Female,Singapore,Singapore,Table games,Blackjack,245.44,FALSE,1.56,-620,3,FALSE,0,0,4,456.05,7,815.46,3,FALSE,1891.51
51,26-01-2023,6563,41,Male,US,Chicago,Speciality Number Games,Bingo,908.22,FALSE,6.32,-465,7,TRUE,2989.36,7,8,51.31,6,521.73,0,FALSE,4027.4
52,15-03-2023,716,59,Female,India,Pune,Speciality Number Games,Wheel of Fortune,221.51,FALSE,5.54,601,22,TRUE,252.41,22,3,301.8,9,35.08,3,TRUE,-11.71
53,17-07-2022,499,44,Male,Singapore,Singapore,Speciality Number Games,Keno,873.92,FALSE,5.43,-721,7,TRUE,475.19,7,3,224.56,9,390.89,2,FALSE,1811.64
54,06-08-2023,930,49,Female,US,San Diego,Table games,Blackjack,541.04,TRUE,6.58,574,18,TRUE,3748.44,18,0,401.24,4,182.92,0,TRUE,3758.6
55,04-07-2022,2297,77,Female,India,Surat,Table games,Poker,575.81,FALSE,2.82,-160,23,FALSE,0,0,9,281.62,7,559.84,3,TRUE,1001.46
56,12-09-2022,4141,59,Male,UK,London,Slot games,Classic Slots,694.5,FALSE,1.51,493,3,FALSE,0,0,0,289.74,2,304.9,0,FALSE,101.64
57,09-01-2024,7383,80,Female,UK,London,Speciality Number Games,Keno,88.25,FALSE,1.76,-286,22,TRUE,1315.85,22,5,439.92,2,80.06,3,FALSE,2121.83
58,07-10-2023,8562,50,Female,UK,Birmingham,Speciality Number Games,Keno,312.34,TRUE,5.5,-316,13,FALSE,0,0,5,64.91,4,809.88,3,FALSE,1190.79
59,31-10-2023,1163,37,Female,Singapore,Singapore,Slot games,Classic Slots,390.47,TRUE,3.57,-450,18,TRUE,2507.22,18,8,372.84,0,245.82,4,TRUE,3575.88
60,12-02-2023,5268,79,Male,UK,Birmingham,Slot games,3D Slots,574.58,FALSE,3.04,997,9,FALSE,0,0,7,195.35,7,459.18,0,TRUE,-342.47
61,17-04-2022,932,31,Male,India,Surat,Speciality Number Games,Keno,12.29,FALSE,5.69,704,25,TRUE,2875.47,25,9,339.38,5,839.27,1,TRUE,3350.12
62,29-01-2023,4419,63,Male,India,Bangalore,Speciality Number Games,Bingo,653.7,FALSE,7.51,815,7,TRUE,422.34,7,4,75.5,5,851.47,1,FALSE,534.31
63,24-01-2023,8578,80,Female,UK,Cardiff,Table games,Baccarat,487.47,FALSE,3.25,579,23,TRUE,1799.17,23,4,416.15,6,300.87,2,FALSE,1937.19
64,27-11-2023,145,73,Female,India,Hyderabad,Slot games,3D Slots,686.32,FALSE,6.49,143,21,FALSE,0,0,3,314.34,6,987.31,3,FALSE,1158.65
65,06-01-2022,8113,60,Male,US,Houston,Table games,Baccarat,689.3,FALSE,1.69,-537,13,TRUE,4077.49,13,5,304.61,5,903.99,4,FALSE,5823.09
66,17-09-2022,617,65,Male,Singapore,Singapore,Slot games,Video Slots,670.93,FALSE,7.05,-631,27,FALSE,0,0,3,414.97,0,768.35,4,FALSE,1814.32
67,15-08-2022,3567,41,Female,India,Surat,Table games,Blackjack,253.34,FALSE,2.99,-814,21,FALSE,0,0,5,342.84,0,126.2,3,FALSE,1283.04
68,13-07-2023,7018,64,Male,Singapore,Singapore,Slot games,Video Slots,842.51,FALSE,2.58,-586,5,FALSE,0,0,2,473.65,3,518.55,0,FALSE,1578.2
69,09-10-2023,774,51,Female,Singapore,Singapore,Table games,Roulette,122.51,FALSE,6.06,-382,24,TRUE,2863.34,24,0,313.54,4,888.89,4,FALSE,4447.77
70,22-04-2023,6884,27,Male,US,Chicago,Speciality Number Games,Wheel of Fortune,740.14,FALSE,4.45,-635,20,TRUE,4608.92,20,6,181.62,7,437.64,4,FALSE,5863.18
71,16-02-2023,3563,80,Female,Singapore,Singapore,Slot games,Video Slots,390.06,FALSE,3.98,-972,12,TRUE,2768.58,12,0,226.81,6,743.31,2,FALSE,4710.7
72,19-01-2023,1290,80,Female,UK,Sheffield,Table games,Poker,244.66,FALSE,6.61,-72,11,TRUE,4624.24,11,4,499.9,7,479.71,2,FALSE,5675.85
73,03-05-2024,6467,80,Male,UK,Cardiff,Speciality Number Games,Bingo,488.49,FALSE,5.27,-828,8,TRUE,543.58,8,1,207.78,0,908.36,3,FALSE,2487.72
74,26-11-2022,9756,65,Female,UK,London,Speciality Number Games,Keno,279.21,FALSE,2.9,982,28,FALSE,0,0,8,419.88,9,641.09,4,TRUE,78.97
75,27-04-2023,6097,59,Male,Singapore,Singapore,Table games,Poker,341.14,FALSE,6.8,772,29,TRUE,2662.04,29,6,145.91,2,937.2,0,FALSE,2973.15
76,21-09-2021,1541,59,Male,US,Dallas,Table games,Blackjack,153.51,FALSE,7.36,-603,24,FALSE,0,0,9,236.26,0,170.64,3,FALSE,1009.9
77,27-08-2024,8075,59,Male,UK,Bristol,Table games,Craps,239.71,FALSE,7.88,735,6,TRUE,434.37,6,5,67.83,5,729.93,0,FALSE,497.13
78,13-03-2024,6476,73,Female,UK,Liverpool,Speciality Number Games,Wheel of Fortune,40.79,FALSE,4.46,-557,27,FALSE,0,0,2,493.26,7,836.68,3,FALSE,1886.94
79,30-07-2024,8125,77,Female,US,Houston,Slot games,3D Slots,933.83,FALSE,1.24,771,26,FALSE,0,0,1,203.48,6,174.34,4,FALSE,-393.18
80,18-02-2024,1668,59,Female,UK,Cardiff,Speciality Number Games,Wheel of Fortune,543.59,FALSE,3.71,-476,2,FALSE,0,0,6,496.14,7,688.4,0,FALSE,1660.54
81,03-01-2024,3468,34,Male,India,Chennai,Table games,Blackjack,276.32,TRUE,3.57,-617,13,FALSE,0,0,5,112.67,0,581.18,3,FALSE,1310.85
82,24-04-2022,1968,67,Female,India,Hyderabad,Slot games,Video Slots,957.1,FALSE,7.41,419,3,FALSE,0,0,8,155.54,4,124.88,2,TRUE,-138.58
83,14-05-2022,98,66,Female,US,Houston,Slot games,Classic Slots,120.89,FALSE,7.93,427,15,TRUE,1395.92,15,1,332.47,4,911.58,0,FALSE,2212.97
84,12-03-2023,2212,70,Female,UK,Sheffield,Table games,Roulette,803.37,FALSE,5.24,-355,25,TRUE,626.8,25,6,178.84,0,358.75,4,TRUE,1519.39
85,27-11-2022,7592,73,Female,US,Chicago,Slot games,3D Slots,712.43,FALSE,1.5,338,26,FALSE,0,0,5,141.05,0,909.88,1,TRUE,712.93
86,08-01-2024,414,58,Male,US,Los Angeles,Slot games,3D Slots,955.82,FALSE,4.26,-256,22,FALSE,0,0,2,221.01,6,362.65,1,FALSE,839.66
87,30-06-2023,4761,56,Female,India,Surat,Speciality Number Games,Keno,101.93,FALSE,4.24,472,15,FALSE,0,0,7,23.27,6,82.94,2,FALSE,-365.79
88,06-11-2021,5111,48,Male,US,Chicago,Slot games,3D Slots,9.98,FALSE,6.1,574,25,FALSE,0,0,6,129.69,9,486.02,4,TRUE,41.71
89,07-02-2024,2449,55,Female,UK,Manchester,Slot games,3D Slots,121.66,TRUE,6.8,-128,8,TRUE,4533.2,8,7,68.33,1,935.76,2,FALSE,5665.29
90,18-09-2021,6302,66,Female,Singapore,Singapore,Speciality Number Games,Keno,645.51,FALSE,1.02,776,26,TRUE,2561.74,26,3,100.83,5,632.36,2,FALSE,2518.93
91,16-03-2024,2509,49,Male,UK,Bristol,Speciality Number Games,Bingo,868.27,FALSE,5.09,-322,5,FALSE,0,0,2,428.22,2,514.2,4,FALSE,1264.42
92,16-08-2022,7032,71,Male,UK,Leeds,Table games,Craps,735.73,TRUE,4.52,-134,17,TRUE,2396.13,17,4,411.93,4,201.5,2,FALSE,3143.56
93,05-08-2022,488,73,Male,US,San Diego,Table games,Roulette,873.49,FALSE,2.52,-549,1,TRUE,274.33,1,5,104.69,6,126.75,3,FALSE,1054.77
94,10-01-2023,1843,63,Male,India,Kolkata,Table games,Roulette,443.57,TRUE,4.56,947,18,TRUE,4068.28,18,8,213.37,7,583.59,0,TRUE,3918.24
95,10-04-2023,6616,62,Male,UK,Liverpool,Speciality Number Games,Wheel of Fortune,554.86,FALSE,2.68,-580,20,TRUE,3774.71,20,6,461.9,4,21.6,4,FALSE,4838.21
96,22-08-2024,5094,78,Male,US,Philadelphia,Table games,Craps,292.88,FALSE,7.45,228,8,FALSE,0,0,1,277.2,2,728.51,2,TRUE,777.71
97,29-01-2024,564,38,Male,US,San Diego,Slot games,3D Slots,118.17,FALSE,4.56,689,6,FALSE,0,0,1,497.36,1,854.36,1,FALSE,662.72
98,23-02-2024,2120,63,Male,US,Chicago,Slot games,Classic Slots,405.88,FALSE,4.62,709,29,TRUE,908.68,29,0,131.35,2,925.63,1,FALSE,1256.66
99,31-10-2021,9274,52,Female,Singapore,Singapore,Speciality Number Games,Keno,854.59,FALSE,4.82,134,3,TRUE,3050,3,4,445.14,0,228.73,0,FALSE,3589.87
100,18-04-2024,3634,45,Female,US,San Antonio,Slot games,3D Slots,734.35,TRUE,1.55,-687,10,TRUE,3706.65,10,3,113.27,0,198.35,0,TRUE,4705.27
101,02-10-2022,7337,78,Female,UK,Leeds,Slot games,Video Slots,615.15,TRUE,4.67,-981,8,FALSE,0,0,1,468.69,4,311.44,4,FALSE,1761.13
102,04-12-2023,7629,64,Male,UK,Manchester,Table games,Poker,426.38,FALSE,1.02,-326,7,TRUE,314.42,7,4,265.95,4,797.19,0,FALSE,1703.56
103,02-07-2022,4463,62,Male,India,Delhi,Slot games,Video Slots,519.84,FALSE,1.97,421,24,TRUE,1302.34,24,5,478.92,6,842.7,1,FALSE,2202.96
104,26-04-2023,4053,80,Male,UK,Bristol,Slot games,Classic Slots,670.2,FALSE,1.46,194,1,TRUE,282.06,1,7,429.95,6,747.13,1,FALSE,1265.14
105,31-05-2024,7921,52,Female,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,488.43,FALSE,6.18,210,9,TRUE,415.95,9,0,448.1,2,519.87,2,FALSE,1173.92
106,25-12-2023,5002,33,Female,UK,Bristol,Table games,Baccarat,159.58,FALSE,1.96,-911,24,FALSE,0,0,3,462.75,4,656.01,4,TRUE,2029.76
107,05-08-2023,5595,54,Male,US,Philadelphia,Speciality Number Games,Wheel of Fortune,822.38,FALSE,2,551,13,FALSE,0,0,9,172.72,7,569.93,2,FALSE,191.65
108,01-01-2022,4684,72,Male,UK,Cardiff,Table games,Blackjack,128.28,FALSE,3.45,-483,24,FALSE,0,0,2,58.86,4,39.81,3,FALSE,581.67
109,03-12-2021,7306,46,Female,Singapore,Singapore,Speciality Number Games,Keno,645.78,FALSE,1.8,-169,8,FALSE,0,0,9,27.41,4,133.25,4,FALSE,329.66
110,23-02-2022,3333,80,Female,Singapore,Singapore,Slot games,Video Slots,669.57,TRUE,7.79,384,27,TRUE,4076.55,27,3,326.43,6,319.5,0,FALSE,4338.48
111,21-04-2022,4704,62,Female,US,Chicago,Speciality Number Games,Bingo,965.83,FALSE,4.51,596,14,TRUE,2988.97,14,1,369.81,8,115.41,2,FALSE,2878.19
112,20-06-2023,2863,65,Male,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,957.18,FALSE,1.14,-932,20,TRUE,3411.91,20,4,117.66,0,543.01,0,FALSE,5004.58
113,30-03-2023,6024,65,Female,UK,Edinburgh,Slot games,Video Slots,233.93,FALSE,5.89,-80,26,TRUE,1729.24,26,4,374.18,6,939.27,3,FALSE,3122.69
114,23-12-2021,9977,65,Female,US,Houston,Slot games,Classic Slots,181.72,FALSE,3.23,741,9,FALSE,0,0,0,319.94,7,666.74,0,FALSE,245.68
115,15-05-2023,3768,60,Female,Singapore,Singapore,Slot games,Video Slots,276.27,FALSE,7.14,806,24,TRUE,3458.37,24,2,255.31,3,628.76,1,FALSE,3536.44
116,01-08-2022,2186,41,Female,UK,Cardiff,Slot games,Classic Slots,538.18,TRUE,2.62,-179,16,FALSE,0,0,4,279.54,5,112.41,0,FALSE,570.95
117,03-06-2023,8324,72,Female,Singapore,Singapore,Table games,Blackjack,126.11,FALSE,2.61,-132,22,TRUE,1027.29,22,5,289.12,0,554.47,3,FALSE,2002.88
118,21-10-2021,3771,56,Female,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,981.96,TRUE,4.13,497,27,FALSE,0,0,1,319.58,4,950.04,2,FALSE,772.62
119,04-03-2024,4601,58,Male,India,Hyderabad,Speciality Number Games,Keno,915.78,TRUE,2.38,58,8,FALSE,0,0,0,158.77,2,258.47,2,FALSE,359.24
120,13-10-2021,9139,72,Female,UK,Leeds,Speciality Number Games,Keno,443.52,TRUE,2.44,-350,20,TRUE,2912.5,20,2,216.74,2,32.05,0,FALSE,3511.29
121,09-01-2023,219,59,Male,UK,Manchester,Speciality Number Games,Bingo,5.34,FALSE,4.43,-682,25,FALSE,0,0,8,314.29,1,615.52,2,FALSE,1611.81
122,12-06-2024,7370,57,Male,UK,Edinburgh,Slot games,Classic Slots,798.05,TRUE,2.32,-912,7,TRUE,1562.31,7,5,316.71,1,956.76,4,FALSE,3747.78
123,10-02-2024,9252,53,Male,UK,Glasgow,Table games,Craps,297.07,FALSE,3.53,-786,25,FALSE,0,0,8,214.35,1,43.26,4,FALSE,1043.61
124,15-05-2022,1506,69,Female,Singapore,Singapore,Speciality Number Games,Keno,900.78,FALSE,5.31,-559,22,TRUE,3089.76,22,2,482.46,6,794.24,3,FALSE,4925.46
125,13-10-2023,6169,44,Female,India,Surat,Slot games,Video Slots,194.63,FALSE,1.78,507,24,TRUE,541.32,24,3,342.45,0,257.25,4,FALSE,634.02
126,14-02-2024,5788,76,Female,UK,London,Slot games,3D Slots,302.73,FALSE,2.55,-105,16,TRUE,1136.97,16,1,204.43,4,71.77,3,FALSE,1518.17
127,19-09-2021,5612,62,Male,India,Bangalore,Slot games,3D Slots,804.47,FALSE,5.81,-244,26,TRUE,3183.21,26,3,437.89,1,689.86,3,FALSE,4554.96
128,16-04-2024,4222,43,Male,UK,Sheffield,Table games,Poker,472.53,FALSE,4.42,477,23,TRUE,3054.39,23,9,222.65,3,839.05,2,FALSE,3639.09
129,22-12-2022,4331,38,Male,Singapore,Singapore,Slot games,Classic Slots,827.11,FALSE,2.22,-542,8,TRUE,3314.89,8,1,171.39,9,298.27,2,FALSE,4326.55
130,19-07-2022,2950,62,Male,UK,Birmingham,Speciality Number Games,Wheel of Fortune,428.89,FALSE,4.32,647,17,FALSE,0,0,5,327.54,2,845.09,0,FALSE,525.63
131,14-08-2022,9751,70,Female,US,Chicago,Slot games,Classic Slots,302.1,FALSE,1.59,-508,7,FALSE,0,0,7,244.87,7,796.42,1,FALSE,1549.29
132,21-10-2023,2241,72,Male,Singapore,Singapore,Speciality Number Games,Keno,669.89,FALSE,2.06,661,12,TRUE,4772.15,12,0,451.89,9,894.27,1,FALSE,5457.31
133,03-04-2024,2533,49,Female,Singapore,Singapore,Slot games,Video Slots,811.38,FALSE,3.23,546,14,TRUE,2520.83,14,4,175.3,4,457.14,4,FALSE,2607.27
134,19-04-2023,9114,80,Female,UK,Leeds,Table games,Baccarat,958.95,TRUE,1.41,631,13,TRUE,2725.52,13,1,121.61,0,688.97,2,FALSE,2905.1
135,25-07-2022,9724,39,Female,US,New York,Slot games,Classic Slots,110.64,FALSE,1.34,-213,6,TRUE,1868.01,6,5,140.4,4,327.75,4,FALSE,2549.16
136,07-09-2021,5512,50,Female,UK,Cardiff,Slot games,3D Slots,806.29,FALSE,4.39,82,28,TRUE,4221.17,28,5,109.63,7,347.58,4,FALSE,4596.38
137,01-02-2024,5978,65,Female,India,Hyderabad,Table games,Craps,91.78,FALSE,3.45,-855,15,FALSE,0,0,1,234.89,4,847.87,1,TRUE,1937.76
138,12-09-2021,5745,78,Male,US,Dallas,Slot games,Classic Slots,295.47,FALSE,6.45,-680,19,FALSE,0,0,5,283.44,7,860.74,2,FALSE,1824.18
139,11-07-2024,2974,68,Male,India,Mumbai,Slot games,3D Slots,435.8,FALSE,7.12,797,28,FALSE,0,0,8,83.22,1,225.53,0,FALSE,-488.25
140,28-04-2024,873,76,Male,US,San Jose,Table games,Blackjack,406.32,FALSE,3.38,-744,24,TRUE,2389.84,24,8,69.47,2,671.44,4,FALSE,3874.75
141,09-03-2023,4290,64,Female,UK,Liverpool,Slot games,3D Slots,707.7,FALSE,6.07,-240,23,TRUE,4079.21,23,6,111.84,1,625.65,0,FALSE,5056.7
142,28-10-2021,5992,75,Male,Singapore,Singapore,Slot games,Classic Slots,210.72,FALSE,5.87,439,19,TRUE,3038.9,19,1,465.27,5,778.9,3,FALSE,3844.07
143,24-12-2021,7214,48,Male,Singapore,Singapore,Slot games,Classic Slots,185.15,FALSE,2.78,-712,28,FALSE,0,0,5,72.21,9,576.08,1,FALSE,1360.29
144,10-10-2023,5704,48,Male,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,311.1,FALSE,7.54,-312,22,TRUE,2273.03,22,8,434.65,4,809.19,4,TRUE,3828.87
145,11-12-2023,7527,49,Female,Singapore,Singapore,Speciality Number Games,Keno,665.69,FALSE,2.12,-756,4,TRUE,313.09,4,6,383.12,7,937.83,4,FALSE,2390.04
146,29-11-2021,308,33,Male,Singapore,Singapore,Speciality Number Games,Wheel of Fortune,544.56,FALSE,1.39,41,4,FALSE,0,0,1,249.41,2,746.17,3,FALSE,954.58
147,15-12-2023,996,61,Female,US,Phoenix,Speciality Number Games,Bingo,958.2,TRUE,7.72,-870,3,FALSE,0,0,6,393.66,8,170.75,4,FALSE,1434.41
148,16-09-2022,8416,74,Male,Singapore,Singapore,Table games,Roulette,355.94,FALSE,7.06,293,18,FALSE,0,0,2,288.71,1,92.14,1,TRUE,87.85
