hotel,room_type,market_segment,deposit_type,meal,distribution_channel,customer_type,arrival_date,adr,room_limit,total_rns
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-02 00:00:00,137.0,60.0,2
City Hotel,A,Groups,No Deposit,HB,TA/TO,Transient.Party,2021-07-03 00:00:00,74.36699999999999,150.0,10
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,94.0,150.0,2
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-03 00:00:00,60.27,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-03 00:00:00,71.35,150.0,4
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-03 00:00:00,77.11333333333333,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-03 00:00:00,63.86636363636364,150.0,11
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-03 00:00:00,91.5,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,105.36666666666667,150.0,12
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,75.44800000000001,150.0,5
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,105.62857142857142,75.0,7
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-03 00:00:00,89.68,75.0,1
Resort Hotel,D,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-03 00:00:00,145.0,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-03 00:00:00,93.5625,75.0,4
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,71.10666666666667,75.0,3
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-03 00:00:00,99.67,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-03 00:00:00,67.58,75.0,1
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-03 00:00:00,137.0,60.0,2
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-03 00:00:00,119.35,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-03 00:00:00,92.625,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-03 00:00:00,196.54,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-03 00:00:00,82.88,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-03 00:00:00,117.57,60.0,3
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-03 00:00:00,199.5,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-03 00:00:00,122.94,60.0,2
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-03 00:00:00,85.475,60.0,2
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-04 00:00:00,63.77777777777778,150.0,9
City Hotel,A,Groups,No Deposit,HB,TA/TO,Transient.Party,2021-07-04 00:00:00,74.36699999999999,150.0,10
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,94.0,150.0,2
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-04 00:00:00,60.27,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-04 00:00:00,64.03466666666667,150.0,15
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-04 00:00:00,81.0025,150.0,4
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,78.2,150.0,2
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-04 00:00:00,71.35,150.0,4
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,112.0,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,102.14923076923077,150.0,13
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-04 00:00:00,96.9,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient.Party,2021-07-04 00:00:00,73.8,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,72.69833333333334,150.0,6
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-04 00:00:00,115.535,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-04 00:00:00,89.68,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-04 00:00:00,67.58,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-04 00:00:00,85.26428571428572,75.0,7
Resort Hotel,D,Direct,No Deposit,HB,Direct,Transient,2021-07-04 00:00:00,130.75,75.0,2
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,104.55,75.0,8
Resort Hotel,D,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,145.0,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,71.2175,75.0,4
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,96.95,75.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,196.54,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-04 00:00:00,199.5,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-04 00:00:00,116.902,60.0,5
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-04 00:00:00,122.94,60.0,2
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-04 00:00:00,108.31666666666666,60.0,3
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-04 00:00:00,92.625,60.0,2
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-04 00:00:00,137.0,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-04 00:00:00,82.88,60.0,1
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-04 00:00:00,129.175,60.0,2
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,94.0,150.0,2
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-05 00:00:00,63.77777777777778,150.0,9
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-05 00:00:00,60.27,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient.Party,2021-07-05 00:00:00,73.8,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-05 00:00:00,73.625,150.0,2
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-05 00:00:00,82.91875,150.0,8
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-05 00:00:00,67.39812500000001,150.0,16
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-05 00:00:00,112.0,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,97.3178947368421,150.0,19
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-05 00:00:00,101.83333333333333,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,74.03285714285714,150.0,7
Resort Hotel,A,Direct,No Deposit,HB,Undefined,Transient,2021-07-05 00:00:00,112.7,150.0,1
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-05 00:00:00,81.0025,150.0,4
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,69.694,75.0,5
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-05 00:00:00,112.06,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-05 00:00:00,67.58,75.0,1
Resort Hotel,D,Direct,No Deposit,HB,Direct,Transient,2021-07-05 00:00:00,130.75,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-05 00:00:00,111.89,75.0,2
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,96.11666666666667,75.0,6
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-05 00:00:00,89.72142857142856,75.0,7
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-05 00:00:00,96.95,75.0,1
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-05 00:00:00,108.31666666666666,60.0,3
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-05 00:00:00,196.54,60.0,1
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-05 00:00:00,137.0,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-05 00:00:00,199.5,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-05 00:00:00,87.75,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-05 00:00:00,82.88,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,119.35999999999999,60.0,5
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-05 00:00:00,129.175,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-05 00:00:00,122.94,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-05 00:00:00,98.4,60.0,1
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-06 00:00:00,60.27,150.0,1
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,66.13,150.0,1
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-06 00:00:00,63.77777777777778,150.0,9
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient.Party,2021-07-06 00:00:00,100.8,150.0,1
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,102.18266666666666,150.0,15
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-06 00:00:00,101.83333333333333,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-06 00:00:00,79.58333333333333,150.0,3
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-06 00:00:00,126.93333333333334,150.0,3
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-06 00:00:00,88.00166666666667,150.0,6
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,77.27375,150.0,8
Resort Hotel,A,Direct,No Deposit,HB,Undefined,Transient,2021-07-06 00:00:00,112.7,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-06 00:00:00,67.9735,150.0,20
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-06 00:00:00,82.91875,150.0,8
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-06 00:00:00,105.05,75.0,3
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-06 00:00:00,67.58,75.0,1
Resort Hotel,D,Direct,No Deposit,HB,Direct,Transient,2021-07-06 00:00:00,130.75,75.0,2
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-06 00:00:00,112.06,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-06 00:00:00,92.34375,75.0,8
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,93.65,75.0,8
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,82.07777777777778,75.0,9
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-06 00:00:00,96.95,75.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-06 00:00:00,196.54,60.0,1
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-06 00:00:00,137.0,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-06 00:00:00,87.75,60.0,1
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-06 00:00:00,97.7375,60.0,4
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,119.63285714285713,60.0,7
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-06 00:00:00,137.78333333333333,60.0,3
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-06 00:00:00,82.88,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-06 00:00:00,199.5,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-06 00:00:00,98.4,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-06 00:00:00,122.94,60.0,2
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-07 00:00:00,63.77777777777778,150.0,9
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-07 00:00:00,60.27,150.0,1
City Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,76.08,150.0,1
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,62.37,150.0,1
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient.Party,2021-07-07 00:00:00,100.8,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-07 00:00:00,79.58333333333333,150.0,3
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-07 00:00:00,101.83333333333333,150.0,3
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-07 00:00:00,72.9875,150.0,4
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,70.39625000000001,150.0,8
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,103.452,150.0,20
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-07 00:00:00,67.9735,150.0,20
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-07 00:00:00,85.98333333333333,150.0,9
Resort Hotel,A,Direct,No Deposit,HB,Undefined,Transient,2021-07-07 00:00:00,112.7,150.0,1
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-07 00:00:00,126.93333333333334,150.0,3
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,82.96111111111111,75.0,9
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-07 00:00:00,95.22,75.0,10
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-07 00:00:00,110.45,75.0,4
Resort Hotel,D,Direct,No Deposit,HB,Direct,Transient,2021-07-07 00:00:00,130.75,75.0,2
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,93.65,75.0,8
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-07 00:00:00,123.475,75.0,2
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-07 00:00:00,124.45,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-07 00:00:00,67.58,75.0,1
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-07 00:00:00,124.14999999999999,60.0,2
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-07 00:00:00,97.7375,60.0,4
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-07 00:00:00,196.54,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-07 00:00:00,199.5,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,123.92875000000001,60.0,8
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-07 00:00:00,82.88,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-07 00:00:00,98.4,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-07 00:00:00,87.75,60.0,1
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-07 00:00:00,137.78333333333333,60.0,3
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-07 00:00:00,122.94,60.0,2
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-08 00:00:00,64.1,150.0,20
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-08 00:00:00,60.27,150.0,1
City Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,71.78999999999999,150.0,2
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,69.435,150.0,2
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,79.58333333333333,150.0,3
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,74.37444444444445,150.0,9
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-08 00:00:00,80.78999999999999,150.0,5
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient.Party,2021-07-08 00:00:00,100.8,150.0,1
Resort Hotel,A,Direct,No Deposit,HB,Undefined,Transient,2021-07-08 00:00:00,112.7,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-08 00:00:00,86.4375,150.0,8
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-08 00:00:00,103.17500000000001,150.0,4
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,105.69058823529411,150.0,17
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,126.93333333333334,150.0,3
Resort Hotel,A,Corporate,No Deposit,BB,Corporate,Transient,2021-07-08 00:00:00,104.72,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-08 00:00:00,70.52555555555556,150.0,18
Resort Hotel,D,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,129.0,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-08 00:00:00,103.52666666666669,75.0,6
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,102.94285714285715,75.0,7
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-08 00:00:00,96.96666666666667,75.0,9
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,123.475,75.0,2
Resort Hotel,D,Direct,No Deposit,HB,Direct,Transient,2021-07-08 00:00:00,130.75,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-08 00:00:00,67.58,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,85.20444444444445,75.0,9
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-08 00:00:00,104.30000000000001,75.0,2
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,120.543,60.0,10
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,196.54,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-08 00:00:00,87.75,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-08 00:00:00,82.88,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient.Party,2021-07-08 00:00:00,115.1,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-08 00:00:00,98.4,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-08 00:00:00,199.5,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-08 00:00:00,122.94,60.0,2
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-08 00:00:00,93.782,60.0,5
Resort Hotel,E,Direct,No Deposit,HB,Direct,Transient,2021-07-08 00:00:00,124.14999999999999,60.0,2
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-08 00:00:00,142.0875,60.0,4
City Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-09 00:00:00,67.5,150.0,1
City Hotel,A,Online TA,No Deposit,SC,TA/TO,Transient,2021-07-09 00:00:00,60.27,150.0,1
City Hotel,A,Groups,No Deposit,BB,TA/TO,Transient.Party,2021-07-09 00:00:00,64.1,150.0,20
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-09 00:00:00,65.92333333333333,150.0,3
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-09 00:00:00,101.20588235294117,150.0,17
Resort Hotel,A,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-09 00:00:00,118.72,150.0,5
Resort Hotel,A,Direct,No Deposit,HB,Direct,Transient,2021-07-09 00:00:00,101.26666666666667,150.0,3
Resort Hotel,A,Direct,No Deposit,HB,Undefined,Transient,2021-07-09 00:00:00,112.7,150.0,1
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-09 00:00:00,78.43,150.0,9
Resort Hotel,A,Corporate,No Deposit,BB,Corporate,Transient,2021-07-09 00:00:00,106.24000000000001,150.0,3
